TF_Gene_ID	TF_family	TF_name	Short_descr	Species	Invol_cond
AT1G63480	AT-Hook	AHL12	AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 12	Arabidopsis thaliana	NA
AT4G14465	AT-Hook	AHL20	AT-hook motif nuclear-localized protein 20	Arabidopsis thaliana	NA
AT4G35390	AT-Hook	AHL25; AGF1	AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 25; AT-HOOK PROTEIN OF GA FEEDBACK 1	Arabidopsis thaliana	NA
AT3G04060	NAC; NAM	anac046	NA	Arabidopsis thaliana	NA
AT3G15500	NAC; NAM	NAC3; ATNAC3; ANAC055; NAC055	NAC domain containing protein 3; NAC domain-containing protein 55 (ANAC055) (NAC domain-containing protein 3) (AtNAC3) [NAC055] [NAC3] [MJK13.16]	Arabidopsis thaliana	NA
AT3G18400	NAC; NAM	anac058	NA	Arabidopsis thaliana	NA
AT1G67710	MYB; ARR-B	ARR11	response regulator 11; Two-component response regulator ARR11 (Receiver-like protein 3) [ARR11] [ARP3] [F12A21.15]	Arabidopsis thaliana	Functions as a response regulator involved in His-to-Asp phosphorelay signal transduction system. Phosphorylation of the Asp residue in the receiver domain activates the ability of the protein to promote the transcription of target genes. Could directly activate some type-A response regulators in response to cytokinins
AT2G01760	Myb/SANT; MYB; ARR-B	ARR14; RR14	response regulator 14; Two-component response regulator ARR14 [ARR14] [T8O11.7]	Arabidopsis thaliana	Functions as a response regulator involved in His-to-Asp phosphorelay signal transduction system. Phosphorylation of the Asp residue in the receiver domain activates the ability of the protein to promote the transcription of target genes. Could directly activate some type-A response regulators in response to cytokinins
AT1G77200	AP2; ERF	AT1G77200	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF037 [ERF037] [T14N5.6]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT4G35610	C2H2	NA	NA	Arabidopsis thaliana	NA
AT5G28300	Trihelix	GT2L	GT-2Like protein; Duplicated homeodomain-like superfamily protein; Trihelix transcription factor GTL2 (GT2-LIKE protein 2) (AtGTL2) (Trihelix DNA-binding protein GTL2) [T8M17.70]	Arabidopsis thaliana	NA
AT4G17500	AP2; ERF	ATERF-1; ATERF1; ERF-1	ethylene responsive element binding factor 1; Ethylene-responsive transcription factor 1A (AtERF1A) (Ethylene-responsive element-binding factor 1A) (EREBP-1A) [ERF1A] [ERF-1] [ERF100] [dl4785w] [FCAALL.123]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT3G61890	Homeodomain; bZIP; HD-ZIP	ATHB-12; ATHB12; HB-12	ARABIDOPSIS THALIANA HOMEOBOX 12; homeobox 12; Homeobox-leucine zipper protein ATHB-12 (HD-ZIP protein ATHB-12) (Homeodomain transcription factor ATHB-12) [ATHB-12] [F21F14.60]	Arabidopsis thaliana	may act as growth regulators in response to water deficit
AT5G03790	bZIP; Homeodomain; HD-ZIP	ATHB51; LMI1; HB51	homeobox 51; Putative homeobox-leucine zipper protein ATHB-51 (HD-ZIP protein ATHB-51) (Homeodomain transcription factor ATHB-51) [ATHB-51] [HB51] [F17C15_210] [MED24.8]	Arabidopsis thaliana	NA
