Matrix ID	TF Locus	Matrix Type
TFmatrixID_0001	AT1G63480	Direct
TFmatrixID_0002	AT1G63480	Direct
TFmatrixID_0003	AT1G63480	Direct
TFmatrixID_0004	AT4G14465	Direct
TFmatrixID_0005	AT4G14465	Direct
TFmatrixID_0006	AT4G14465	Direct
TFmatrixID_0007	AT4G35390	Direct
TFmatrixID_0008	AT4G35390	Direct
TFmatrixID_0009	AT4G35390	Direct
TFmatrixID_0010	AT3G04060	Direct
TFmatrixID_0011	AT3G15500	Direct
TFmatrixID_0012	AT3G15500	Direct
TFmatrixID_0013	AT3G18400	Direct
TFmatrixID_0014	AT1G67710	Direct
TFmatrixID_0015	AT1G67710	Direct
TFmatrixID_0016	AT1G67710	Direct
TFmatrixID_0017	AT2G01760	Direct
TFmatrixID_0018	AT2G01760	Direct
TFmatrixID_0019	AT2G01760	Direct
TFmatrixID_0020	AT1G77200	Direct
TFmatrixID_0021	AT4G35610	Direct
TFmatrixID_0022	AT5G28300	Direct
TFmatrixID_0023	AT4G17500	Direct
TFmatrixID_0024	AT4G17500	Direct
TFmatrixID_0025	AT3G61890	Direct
TFmatrixID_0026	AT5G03790	Direct
TFmatrixID_0027	AT1G42990	Direct
TFmatrixID_0028	AT1G42990	Direct
TFmatrixID_0029	AT2G46830	Direct
TFmatrixID_0030	AT2G46830	Direct
TFmatrixID_0031	AT2G46590	Direct
TFmatrixID_0032	AT1G12610	Direct
TFmatrixID_0033	AT2G23340	Direct
TFmatrixID_0034	AT2G23340	Direct
TFmatrixID_0035	AT4G36900	Direct
TFmatrixID_0036	AT4G36900	Direct
TFmatrixID_0037	AT2G40340	Direct
TFmatrixID_0038	AT2G40340	Direct
TFmatrixID_0039	AT3G23240	Direct
TFmatrixID_0040	AT2G33860	Direct
TFmatrixID_0041	AT2G33860	Direct
TFmatrixID_0042	AT5G25830	Direct
TFmatrixID_0043	AT2G20570	Direct
TFmatrixID_0044	AT2G20570	Direct
TFmatrixID_0045	AT3G24520	Direct
TFmatrixID_0046	AT3G24520	Direct
TFmatrixID_0047	AT1G52150	Direct
TFmatrixID_0048	AT5G16560	Direct
TFmatrixID_0049	AT5G42630	Direct
TFmatrixID_0050	AT5G42630	Direct
TFmatrixID_0051	AT2G42430	Direct
TFmatrixID_0052	P12959	Direct
TFmatrixID_0053	PK19363.1	Direct
TFmatrixID_0053	AT1G03800	Inferred
TFmatrixID_0053	AT1G12890	Inferred
TFmatrixID_0053	AT1G12980	Inferred
TFmatrixID_0053	AT1G24590	Inferred
TFmatrixID_0053	AT1G28160	Inferred
TFmatrixID_0053	AT1G28360	Inferred
TFmatrixID_0053	AT3G16770	Inferred
TFmatrixID_0053	AT5G07310	Inferred
TFmatrixID_0053	AT5G13910	Inferred
TFmatrixID_0053	AT5G18560	Inferred
TFmatrixID_0053	AT5G44210	Inferred
TFmatrixID_0053	AT5G50080	Inferred
TFmatrixID_0053	AT5G61890	Inferred
TFmatrixID_0053	AT5G64750	Inferred
TFmatrixID_0053	BRADI1G18580	Inferred
TFmatrixID_0053	BRADI1G33550	Inferred
TFmatrixID_0053	BRADI1G75040	Inferred
TFmatrixID_0053	BRADI2G07357	Inferred
TFmatrixID_0053	BRADI2G21060	Inferred
TFmatrixID_0053	BRADI2G21067	Inferred
TFmatrixID_0053	BRADI2G24170	Inferred
TFmatrixID_0053	BRADI2G27920	Inferred
TFmatrixID_0053	BRADI2G45530	Inferred
TFmatrixID_0053	BRADI2G52370	Inferred
TFmatrixID_0053	BRADI2G52380	Inferred
TFmatrixID_0053	BRADI2G56140	Inferred
TFmatrixID_0053	BRADI3G06562	Inferred
TFmatrixID_0053	BRADI3G18070	Inferred
TFmatrixID_0053	BRADI3G27690	Inferred
TFmatrixID_0053	BRADI3G38140	Inferred
TFmatrixID_0053	BRADI3G44470	Inferred
TFmatrixID_0053	BRADI3G47610	Inferred
TFmatrixID_0053	BRADI5G08380	Inferred
TFmatrixID_0053	BRADI5G21250	Inferred
TFmatrixID_0053	BRADI5G25570	Inferred
TFmatrixID_0053	Cucsa.042770	Inferred
TFmatrixID_0053	Cucsa.046390	Inferred
TFmatrixID_0053	Cucsa.095860	Inferred
TFmatrixID_0053	Cucsa.101370	Inferred
TFmatrixID_0053	Cucsa.105790	Inferred
TFmatrixID_0053	Cucsa.122930	Inferred
